concatParams;loss;smoothness
10_25_False_None_adadelta_mse_50_1_tanh_linear;0.013762;74.165563
10_25_False_None_adadelta_mse_50_10_tanh_linear;0.014369;75.275938
10_25_False_None_adadelta_mse_150_1_tanh_linear;0.013863;73.461369
10_25_False_None_adadelta_mse_150_10_tanh_linear;0.013882;75.147903
10_25_False_None_adadelta_mse_300_1_tanh_linear;0.013773;72.854305
10_25_False_None_adadelta_mse_300_10_tanh_linear;0.013607;75.792494
10_50_False_None_adadelta_mse_50_1_tanh_linear;0.009442;59.443709
10_50_False_None_adadelta_mse_50_10_tanh_linear;0.010397;61.750552
10_50_False_None_adadelta_mse_150_1_tanh_linear;0.009394;58.253863
10_50_False_None_adadelta_mse_150_10_tanh_linear;0.009625;63.777042
10_50_False_None_adadelta_mse_300_1_tanh_linear;0.009400;59.015453
10_50_False_None_adadelta_mse_300_10_tanh_linear;0.009448;61.814570
10_75_False_None_adadelta_mse_50_1_tanh_linear;0.006473;49.326711
10_75_False_None_adadelta_mse_50_10_tanh_linear;0.007245;51.359823
10_75_False_None_adadelta_mse_150_1_tanh_linear;0.006288;46.105960
10_75_False_None_adadelta_mse_150_10_tanh_linear;0.006411;42.428256
10_75_False_None_adadelta_mse_300_1_tanh_linear;0.006378;48.746137
10_75_False_None_adadelta_mse_300_10_tanh_linear;0.006345;47.161148
10_100_False_None_adadelta_mse_50_1_tanh_linear;0.003792;38.167770
10_100_False_None_adadelta_mse_50_10_tanh_linear;0.004931;40.635762
10_100_False_None_adadelta_mse_150_1_tanh_linear;0.003768;39.050773
10_100_False_None_adadelta_mse_150_10_tanh_linear;0.004005;36.735099
10_100_False_None_adadelta_mse_300_1_tanh_linear;0.003791;39.300221
10_100_False_None_adadelta_mse_300_10_tanh_linear;0.003754;36.081678
10_170_True_0.3_adadelta_mse_50_1_tanh_linear;0.005731;29.812362
10_170_True_0.4_adadelta_mse_50_1_tanh_linear;0.010396;41.955850
10_170_True_0.3_adadelta_mse_50_10_tanh_linear;0.006630;33.302428
10_170_True_0.4_adadelta_mse_50_10_tanh_linear;0.012474;42.752759
10_170_True_0.3_adadelta_mse_150_1_tanh_linear;0.007284;33.214128
10_170_True_0.4_adadelta_mse_150_1_tanh_linear;0.012273;43.754967
10_170_True_0.3_adadelta_mse_150_10_tanh_linear;0.005890;27.125828
10_170_True_0.4_adadelta_mse_150_10_tanh_linear;0.009998;39.366446
10_170_True_0.3_adadelta_mse_300_1_tanh_linear;0.006377;31.364238
10_170_True_0.4_adadelta_mse_300_1_tanh_linear;0.009636;37.902870
10_170_True_0.3_adadelta_mse_300_10_tanh_linear;0.005842;28.167770
10_170_True_0.4_adadelta_mse_300_10_tanh_linear;0.010364;36.730684
10_190_True_0.3_adadelta_mse_50_1_tanh_linear;0.005906;28.547461
10_190_True_0.4_adadelta_mse_50_1_tanh_linear;0.010466;40.284768
10_190_True_0.3_adadelta_mse_50_10_tanh_linear;0.007075;32.291391
10_190_True_0.4_adadelta_mse_50_10_tanh_linear;0.012212;43.713024
10_190_True_0.3_adadelta_mse_150_1_tanh_linear;0.006126;35.463576
10_190_True_0.4_adadelta_mse_150_1_tanh_linear;0.009793;39.635762
10_190_True_0.3_adadelta_mse_150_10_tanh_linear;0.005616;26.136865
10_190_True_0.4_adadelta_mse_150_10_tanh_linear;0.010992;39.613687
10_190_True_0.3_adadelta_mse_300_1_tanh_linear;0.006596;32.399558
10_190_True_0.4_adadelta_mse_300_1_tanh_linear;0.013546;49.816777
10_190_True_0.3_adadelta_mse_300_10_tanh_linear;0.005213;25.953642
10_190_True_0.4_adadelta_mse_300_10_tanh_linear;0.010472;40.326711
10_210_True_0.3_adadelta_mse_50_1_tanh_linear;0.006522;32.556291
10_210_True_0.4_adadelta_mse_50_1_tanh_linear;0.009736;39.423841
10_210_True_0.3_adadelta_mse_50_10_tanh_linear;0.006943;31.717439
10_210_True_0.4_adadelta_mse_50_10_tanh_linear;0.011616;44.291391
10_210_True_0.3_adadelta_mse_150_1_tanh_linear;0.005857;34.615894
10_210_True_0.4_adadelta_mse_150_1_tanh_linear;0.010371;43.715232
10_210_True_0.3_adadelta_mse_150_10_tanh_linear;0.005409;23.858720
10_210_True_0.4_adadelta_mse_150_10_tanh_linear;0.010943;40.324503
10_210_True_0.3_adadelta_mse_300_1_tanh_linear;0.007289;34.083885
10_210_True_0.4_adadelta_mse_300_1_tanh_linear;0.010591;42.598234
10_210_True_0.3_adadelta_mse_300_10_tanh_linear;0.005907;25.699779
10_210_True_0.4_adadelta_mse_300_10_tanh_linear;0.010036;35.123620
10_25_False_None_adadelta_mse_100_1_tanh_linear;0.013722;73.116998
10_25_False_None_adadelta_mse_100_10_tanh_linear;0.013931;68.993377
10_25_False_None_adadelta_mse_200_1_tanh_linear;0.013887;77.121413
10_25_False_None_adadelta_mse_200_10_tanh_linear;0.013831;69.816777
10_50_False_None_adadelta_mse_100_1_tanh_linear;0.009460;61.041943
10_50_False_None_adadelta_mse_100_10_tanh_linear;0.009971;61.463576
10_50_False_None_adadelta_mse_200_1_tanh_linear;0.009648;64.066225
10_50_False_None_adadelta_mse_200_10_tanh_linear;0.009442;59.163355
10_75_False_None_adadelta_mse_100_1_tanh_linear;0.006416;51.130243
10_75_False_None_adadelta_mse_100_10_tanh_linear;0.006754;48.512141
10_75_False_None_adadelta_mse_200_1_tanh_linear;0.006442;49.730684
10_75_False_None_adadelta_mse_200_10_tanh_linear;0.006429;47.540839
10_100_False_None_adadelta_mse_100_1_tanh_linear;0.003823;42.421634
10_100_False_None_adadelta_mse_100_10_tanh_linear;0.004151;38.454746
10_100_False_None_adadelta_mse_200_1_tanh_linear;0.003814;40.454746
10_100_False_None_adadelta_mse_200_10_tanh_linear;0.003721;33.474614
10_170_True_0.3_adadelta_mse_100_1_tanh_linear;0.006897;33.889625
10_170_True_0.4_adadelta_mse_100_1_tanh_linear;0.010631;43.589404
10_170_True_0.3_adadelta_mse_100_10_tanh_linear;0.006043;27.355408
10_170_True_0.4_adadelta_mse_100_10_tanh_linear;0.011788;40.291391
10_170_True_0.3_adadelta_mse_200_1_tanh_linear;0.006051;28.913907
10_170_True_0.4_adadelta_mse_200_1_tanh_linear;0.011365;42.918322
10_170_True_0.3_adadelta_mse_200_10_tanh_linear;0.005758;25.543046
10_170_True_0.4_adadelta_mse_200_10_tanh_linear;0.011255;40.187638
10_190_True_0.3_adadelta_mse_100_1_tanh_linear;0.006267;32.037528
10_190_True_0.4_adadelta_mse_100_1_tanh_linear;0.011560;41.123620
10_190_True_0.3_adadelta_mse_100_10_tanh_linear;0.005822;26.779249
10_190_True_0.4_adadelta_mse_100_10_tanh_linear;0.011431;39.604857
10_190_True_0.3_adadelta_mse_200_1_tanh_linear;0.006367;35.843267
10_190_True_0.4_adadelta_mse_200_1_tanh_linear;0.012715;45.509934
10_190_True_0.3_adadelta_mse_200_10_tanh_linear;0.005739;26.185430
10_190_True_0.4_adadelta_mse_200_10_tanh_linear;0.010878;38.688742
10_210_True_0.3_adadelta_mse_100_1_tanh_linear;0.005744;30.827815
10_210_True_0.4_adadelta_mse_100_1_tanh_linear;0.010565;40.359823
10_210_True_0.3_adadelta_mse_100_10_tanh_linear;0.006090;28.200883
10_210_True_0.4_adadelta_mse_100_10_tanh_linear;0.011296;43.602649
10_210_True_0.3_adadelta_mse_200_1_tanh_linear;0.006269;27.697572
10_210_True_0.4_adadelta_mse_200_1_tanh_linear;0.010792;40.785872
10_210_True_0.3_adadelta_mse_200_10_tanh_linear;0.005301;24.238411
10_210_True_0.4_adadelta_mse_200_10_tanh_linear;0.010630;39.326711
