concatParams;mean;std
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-4.125559;1888.070676
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-3.979353;1574.566325
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;12.185076;1411.756279
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;14.716345;1379.070234
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;18.042944;1372.692556
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;5.513444;1345.184301
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;5.880376;1318.552847
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;15.942386;1290.117708
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;19.191047;1275.983348
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;17.828089;1272.745996
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;37.628043;1252.588955
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;39.471347;1262.053015
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;29.076375;1261.627548
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;26.929877;1271.834141
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;24.961383;1286.958102
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;28.231735;1289.861996
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;34.178919;1300.134127
10_100_False_None_adadelta_mse_150_100_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;34.380237;1316.852465
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;46.438614;1771.698183
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;27.648987;1524.480548
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;39.652829;1443.579832
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;38.545742;1380.797606
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;44.405372;1343.590956
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;47.883517;1322.299071
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;50.999046;1292.356196
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;51.684840;1293.226385
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;44.434574;1266.610832
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;35.184086;1247.037366
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;19.734296;1227.675563
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;14.403110;1255.501988
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;15.414209;1270.360200
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;19.996263;1270.908760
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;17.780676;1283.473087
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;19.786139;1293.094678
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;16.994435;1302.893446
10_100_False_None_adadelta_mse_150_10_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;22.430876;1308.542713
10_100_False_None_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;0.455679;1832.030267
10_100_False_None_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-15.894631;1577.664556
